solution_id,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,g1,g2,g3,g4,g5,detection_recall,system_MTBF_hours,annual_cost_USD,is_feasible,time_seconds,sensor,algorithm
0,390041.2087912088,0.010000000000000009,310.0,10.0,54.7938,0.00025,-190.0,-0.39,-9609958.79120879,-299945.2062,-2500.0,0.99,4000.0,39004.12087912088,True,127.96644759178162,Vehicle_Smartphone_System,DL_AttentionUNet_Crack
1,540041.2087912088,0.010000000000000009,65.0,200.0,18.264599999999998,1.6666666666666667e-05,-435.0,-0.39,-9459958.79120879,-299981.7354,-58500.0,0.99,60000.0,54004.12087912088,True,127.96644759178162,FOS_Luna_ODiSI,DL_YOLOv7_Standard
2,592541.2087912088,0.010000000000000009,160.0,10.0,73.05839999999999,0.00016666666666666666,-340.0,-0.39,-9407458.79120879,-299926.9416,-4500.0,0.99,6000.0,59254.12087912088,True,127.96644759178162,Vehicle_Accelerometer_Pro,DL_AttentionUNet_Crack
3,231041.20879120877,0.010000000000000009,65.0,200.0,3.65292,2e-05,-435.0,-0.39,-9768958.79120879,-299996.34708,-48500.0,0.99,49999.99999999999,23104.120879120877,True,127.96644759178162,FOS_Basic_FBG,DL_AttentionUNet_Crack
